station_code,name,long,lat
1032,신길,126.9184418,37.51675256
1201,중랑,127.076381,37.594889
1202,상봉,127.0850173,37.59666247
1203,망우,127.092311,37.59932102
1204,양원,127.1081477,37.60664101
1205,구리,127.1430064,37.60311449
1206,도농,127.1613903,37.60910819
1207,양정,127.1948413,37.60425542
1208,덕소,127.2090019,37.58681654
1209,도심,127.2228757,37.57955313
1210,팔당,127.243742,37.54733643
1211,운길산,127.3101092,37.55469321
1212,양수,127.3289303,37.54612921
1213,신원,127.3727932,37.5258201
1214,국수,127.3995525,37.5162879
1215,아신,127.4433085,37.5139505
1216,오빈,127.4740629,37.50606248
1217,양평,126.8862578,37.52559931
1218,원덕,127.5475242,37.46857331
1219,용문,127.5945995,37.48226498
1220,지평,127.6298298,37.47646158
1251,서울역,126.9697118,37.55375342
1252,신촌,126.942499,37.559876
1261,효창공원앞,126.9613445,37.53927864
1262,공덕,126.9513782,37.54445016
1263,서강대,126.9352437,37.55230874
1264,홍대입구,126.9267864,37.55742432
1265,가좌,126.9148247,37.5688683
1266,디지털미디어시티,126.9001332,37.57779946
1267,수색,126.895484,37.58095946
1268,화전,126.8676721,37.60341914
1269,강매,126.8444703,37.61227617
1270,행신,126.8347816,37.61214299
1271,능곡,126.8206261,37.61892997
1272,곡산,126.801759,37.64587608
1273,백마,126.7943964,37.65852402
1274,풍산,126.786574,37.67196015
1275,일산,126.769133,37.68235017
1276,탄현,126.7613267,37.69361841
1277,야당,126.7614591,37.71244908
1278,운정,126.7671946,37.72532706
1279,금릉,126.7659121,37.7510462
1280,금촌,126.7740575,37.76598964
1282,월롱,126.7926367,37.79509195
1283,파주,126.7929436,37.81492871
1284,문산,126.7879304,37.85509853
1291,서울역,126.9713122,37.55719276
1295,김포공항,126.8019639,37.56196973
1296,계양,126.7362429,37.57152438
1297,검암,126.6736383,37.56926906
1311,신내,127.1026265,37.61314528
1312,갈매,127.1146488,37.63392778
1313,별내,127.1272792,37.64219932
1314,퇴계원,127.143551,37.64829912
1315,사릉,127.1768932,37.65114388
1316,금곡,127.2074358,37.63734035
1317,평내호평,127.2443269,37.65319936
1318,천마산,127.2848682,37.65928211
1319,마석,127.3114676,37.65274852
1320,대성리,127.3795627,37.68400161
1321,청평,127.4265727,37.7355648
1322,상천,127.4544982,37.77018377
1323,가평,127.5107159,37.81451817
1324,굴봉산,127.5577084,37.83206075
1325,백양리,127.589253,37.8308
1326,강촌,127.6341157,37.80574767
1327,김유정,127.7142979,37.81847714
1328,남춘천,127.7236683,37.86420308
1329,춘천,127.7169945,37.88510478
1401,봉명,127.1365098,36.80167801
